Extract tasks...
Tuning...
INFO:autotvm:Get devices for measurement successfully!
DEBUG:autotvm:No: 1	GFLOPS: 0.0000/0.0000	cost: 0.0000	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06154012680053711, timestamp=1543904793.099984)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [2, 4, 1, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,65389
DEBUG:autotvm:No: 23	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.12182211875915527, timestamp=1543904802.8693478)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 1, 4, 64]), ('tile_x', [4, 4, 1, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,454947
DEBUG:autotvm:No: 24	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0750269889831543, timestamp=1543904802.8694954)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 8, 8]), ('tile_x', [8, 1, 1, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,296056
DEBUG:autotvm:No: 25	GFLOPS: 30.2472/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.007644045100000001,), error_no=0, all_cost=4.549941778182983, timestamp=1543904856.4111865)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 32, 16, 1]), ('tile_x', [1, 4, 1, 4]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,267779
DEBUG:autotvm:No: 26	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0878438949584961, timestamp=1543904802.8698025)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 16, 8, 1]), ('tile_x', [4, 4, 1, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,454771
DEBUG:autotvm:No: 27	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:27:40] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=13.203970670700073, timestamp=1543904860.9059615)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 16, 2, 1]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,218034
DEBUG:autotvm:No: 28	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06627368927001953, timestamp=1543904802.870115)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 128, 1, 4]), ('tile_x', [1, 8, 1, 2]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,227367
DEBUG:autotvm:No: 29	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.14818549156188965, timestamp=1543904802.8702736)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 32, 4, 4]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,445400
DEBUG:autotvm:No: 30	GFLOPS: 723.7727/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.0003194525,), error_no=0, all_cost=3.877692699432373, timestamp=1543904864.306943)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 16, 2, 8]), ('tile_x', [2, 1, 8, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,164487
DEBUG:autotvm:No: 31	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.058190345764160156, timestamp=1543904802.8705695)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 1, 32, 8]), ('tile_x', [2, 4, 2, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,71001
DEBUG:autotvm:No: 32	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07366538047790527, timestamp=1543904802.8707206)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 32, 2, 8]), ('tile_x', [2, 4, 1, 2]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,227188
DEBUG:autotvm:No: 33	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:27:49] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.34890604019165, timestamp=1543904869.0314767)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 64, 1, 4]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,24526
DEBUG:autotvm:No: 34	GFLOPS: 124.7870/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.0018528454999999998,), error_no=0, all_cost=4.142945289611816, timestamp=1543904872.4911268)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 64, 1, 4]), ('tile_x', [1, 1, 16, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,164886
DEBUG:autotvm:No: 35	GFLOPS: 73.3857/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.003150626,), error_no=0, all_cost=4.340759515762329, timestamp=1543904876.117081)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 16, 8, 4]), ('tile_x', [1, 1, 2, 8]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,253785
DEBUG:autotvm:No: 36	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:28:00] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=6.55136251449585, timestamp=1543904880.5964923)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 4, 1, 4]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,432622
DEBUG:autotvm:No: 37	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:28:04] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=6.326022624969482, timestamp=1543904884.9803584)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 2, 1, 64]), ('tile_x', [1, 1, 2, 8]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,169161
DEBUG:autotvm:No: 38	GFLOPS: 280.8451/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.0008232688,), error_no=0, all_cost=3.7054803371429443, timestamp=1543904888.210479)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 8, 8, 8]), ('tile_x', [8, 1, 1, 2]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,3457
DEBUG:autotvm:No: 39	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06661224365234375, timestamp=1543904802.871763)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 1, 8, 64]), ('tile_x', [1, 16, 1, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,216689
DEBUG:autotvm:No: 40	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0907742977142334, timestamp=1543904802.87197)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 32, 2, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,72229
DEBUG:autotvm:No: 41	GFLOPS: 128.5644/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.00179840565,), error_no=0, all_cost=3.673769235610962, timestamp=1543904891.5853033)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [64, 1, 4, 2]), ('tile_x', [1, 2, 1, 8]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,376712
DEBUG:autotvm:No: 42	GFLOPS: 2366.8869/2366.8869	cost: 0.0001	result: MeasureResult(costs=(9.76857e-05,), error_no=0, all_cost=3.68298077583313, timestamp=1543904894.915945)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,248900
DEBUG:autotvm:No: 43	GFLOPS: 160.8240/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0014376649999999999,), error_no=0, all_cost=4.304173469543457, timestamp=1543904898.4642975)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 4, 16]), ('tile_x', [1, 4, 1, 4]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,352615
DEBUG:autotvm:No: 44	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.08929920196533203, timestamp=1543904802.872559)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 1, 64, 4]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,287453
DEBUG:autotvm:No: 45	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.05554008483886719, timestamp=1543904802.8727071)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 256, 2, 1]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,302738
DEBUG:autotvm:No: 46	GFLOPS: 280.7235/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00082362545,), error_no=0, all_cost=3.5459587574005127, timestamp=1543904901.7091687)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 8, 8, 8]), ('tile_x', [8, 1, 1, 2]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,234457
DEBUG:autotvm:No: 47	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:28:26] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=6.861625909805298, timestamp=1543904906.1782618)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 4, 4]), ('tile_x', [8, 2, 1, 1]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,192837
DEBUG:autotvm:No: 48	GFLOPS: 893.5717/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00025874925,), error_no=0, all_cost=3.522839307785034, timestamp=1543904909.4010067)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [64, 2, 2, 2]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,248885
DEBUG:autotvm:No: 49	GFLOPS: 386.7164/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00059788255,), error_no=0, all_cost=3.851604700088501, timestamp=1543904918.9166589)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 8, 2]), ('tile_x', [8, 1, 2, 1]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,31981
DEBUG:autotvm:No: 50	GFLOPS: 758.7288/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0003047347,), error_no=0, all_cost=3.807560682296753, timestamp=1543904922.2349856)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [2, 2, 4, 1]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,387249
DEBUG:autotvm:No: 51	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.17621111869812012, timestamp=1543904910.370237)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 16, 8, 2]), ('tile_x', [2, 4, 2, 1]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,355823
DEBUG:autotvm:No: 52	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.17328763008117676, timestamp=1543904910.3703218)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 8, 16, 2]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,63008
DEBUG:autotvm:No: 53	GFLOPS: 727.5621/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00031778869999999997,), error_no=0, all_cost=3.869560956954956, timestamp=1543904925.5468729)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 4, 8, 4]), ('tile_x', [2, 1, 1, 8]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,6943
DEBUG:autotvm:No: 54	GFLOPS: 63.2818/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0036536707,), error_no=0, all_cost=5.306960344314575, timestamp=1543904929.640121)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 1, 8, 64]), ('tile_x', [1, 8, 2, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,163669
DEBUG:autotvm:No: 55	GFLOPS: 333.5661/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0006931489,), error_no=0, all_cost=3.9289047718048096, timestamp=1543904932.9482853)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 4, 4, 2]), ('tile_x', [1, 8, 1, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,19434
DEBUG:autotvm:No: 56	GFLOPS: 203.8035/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00113448005,), error_no=0, all_cost=5.254816770553589, timestamp=1543904936.5513163)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 2, 2, 4]), ('tile_x', [1, 8, 1, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,412169
DEBUG:autotvm:No: 57	GFLOPS: 131.7121/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0017554275000000001,), error_no=0, all_cost=4.2628514766693115, timestamp=1543904940.1378465)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 1, 16]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,96965
DEBUG:autotvm:No: 58	GFLOPS: 1472.0806/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0001570641,), error_no=0, all_cost=3.8590986728668213, timestamp=1543904943.4717925)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 64, 1]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,395167
DEBUG:autotvm:No: 59	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:29:07] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=7.5208580493927, timestamp=1543904948.006866)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 16, 2, 8]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,189127
